Name,Completion Status,Platforms,Sources
~Hack~ Deadpool,2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Digimon World 2 Alternative,2 - Not Played,PlayStation,RetroAchievements
~Hack~ Disaster Quest Tree,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ dlorW oiraM repuS,2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ Doctor Robotnik's Creature Capture",2 - Not Played,Genesis/Mega Drive,RetroAchievements
~Hack~ Doki Doki Mario 64,5 - Mastered,Nintendo 64,RetroAchievements
~Hack~ domenyX Generations,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ domenyX vs Coronavirus,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Donkey Kong Accelerate,2 - Not Played,Arcade,RetroAchievements
~Hack~ Donkey Kong Barrelpalooza,2 - Not Played,Arcade,RetroAchievements
~Hack~ Donkey Kong Country 1 & 2: Boss Blitz | Brigand Barrage,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Donkey Kong Country 2: The Lost Levels,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Donkey Kong Country 3: Tag Team Trouble,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Donkey Kong Country Mania,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Donkey Kong Country: Competition Edition [10 Minutes],2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Donkey Kong Hearthunt,2 - Not Played,Arcade,RetroAchievements
~Hack~ Donkey Kong II: Jumpman Returns,2 - Not Played,Arcade,RetroAchievements
~Hack~ Donkey Kong Into The Dark,2 - Not Played,Arcade,RetroAchievements
~Hack~ Donkey Kong On The Run,2 - Not Played,Arcade,RetroAchievements
~Hack~ Donkey Kong Pac-Man Crossover,2 - Not Played,Arcade,RetroAchievements
~Hack~ Donkey Kong RNDMZR,2 - Not Played,Arcade,RetroAchievements
~Hack~ Donkey Kong Twisted Jungle,2 - Not Played,Arcade,RetroAchievements
"~Hack~ Don't Dig Down",2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Doom 32X: Resurrection,2 - Not Played,32X,RetroAchievements
~Hack~ Doom II: The Way ID Did,2 - Not Played,Game Boy Advance,RetroAchievements
